Date Time,CO,O3,WD,NO2,T,WS,Upland_PM25,Lake_Elsinore_PM25,Temecula_PM25,Banning_PM25,Central_San_Bernardino_PM25
2017-01-17 10:00:00,1.2,20.0,163.3,19.0,60.2,1.7,19.0,7.0,6.0,5.0,15.0
2017-01-17 11:00:00,1.1,10.5,250.15,10.0,62.75,2.8,21.0,6.0,6.5,6.5,15.0
2017-01-17 12:00:00,1.0,1.0,337.0,1.0,65.3,3.9,23.0,5.0,7.0,8.0,15.0
2017-01-17 13:00:00,1.0,1.0,282.4,1.0,65.6,6.7,14.0,5.0,4.0,9.0,15.0
2017-01-17 14:00:00,1.0,1.0,275.7,1.0,66.5,5.9,12.0,5.0,2.0,11.0,15.0
2017-01-17 15:00:00,1.0,1.0,276.0,1.0,66.6,6.1,12.0,5.0,2.0,10.0,15.0
2017-01-17 16:00:00,1.0,1.0,259.3,1.0,64.3,4.4,22.0,6.0,2.0,8.0,15.0
2017-01-17 17:00:00,1.52,11.0,226.5,35.0,60.4,3.1,24.0,10.0,5.0,10.0,15.0
2017-01-17 18:00:00,1.6,5.0,306.0,36.0,57.0,1.6,26.0,9.0,10.0,12.0,15.0
2017-01-17 19:00:00,1.3900000000000001,9.0,250.8,31.0,55.5,2.9,20.0,10.0,10.0,9.0,15.0
2017-01-17 20:00:00,1.62,4.0,89.3,31.0,52.6,2.0,20.0,26.0,8.0,18.0,15.0
2017-01-17 21:00:00,1.78,3.0,71.9,29.0,50.4,1.8,20.0,22.0,9.0,10.0,15.0
2017-01-17 22:00:00,1.5899999999999999,3.0,131.9,31.0,49.4,2.5,20.0,25.0,9.0,11.0,15.0
2017-01-17 23:00:00,1.6400000000000001,3.0,212.6,25.0,46.9,2.0,21.0,25.0,8.0,13.0,15.0
2017-01-18 00:00:00,1.6400000000000001,3.0,89.2,22.0,45.1,1.2,15.0,30.0,20.0,15.0,15.0
2017-01-18 01:00:00,1.7,3.0,113.0,20.0,44.1,1.1,15.0,26.0,27.0,11.0,15.0
2017-01-18 02:00:00,1.6,3.0,226.0,20.0,42.5,1.2,28.0,23.0,8.0,26.0,15.0
2017-01-18 03:00:00,1.5699999999999998,3.0,166.7,20.0,41.1,1.2,16.0,24.0,23.0,14.0,15.0
2017-01-18 04:00:00,1.6400000000000001,3.0,275.4,17.0,39.8,1.0,15.0,23.0,17.0,24.0,15.0
2017-01-18 05:00:00,1.78,3.0,215.0,17.0,39.6,1.3,15.0,23.0,16.0,24.0,15.0
2017-01-18 06:00:00,2.05,3.0,192.4,17.0,39.5,1.5,14.0,25.0,14.0,22.0,15.0
2017-01-18 07:00:00,2.44,3.0,73.7,23.0,40.6,1.1,13.0,21.0,14.0,21.0,15.0
2017-01-18 08:00:00,2.0,4.0,201.7,27.0,46.7,1.6,12.0,28.0,15.0,30.0,15.0
2017-01-18 09:00:00,1.49,9.0,181.4,26.0,51.6,1.7,25.0,25.0,25.0,14.0,15.0
2017-01-18 10:00:00,1.25,21.0,244.0,18.0,54.2,2.8,32.0,5.0,8.0,12.0,15.0
2017-01-18 11:00:00,1.1400000000000001,33.0,265.8,13.0,56.0,3.8,28.0,5.0,21.0,10.0,15.0
2017-01-18 12:00:00,1.1400000000000001,36.0,265.5,12.0,58.9,3.7,29.0,15.0,11.0,13.0,15.0
2017-01-18 13:00:00,1.13,35.0,271.6,12.0,58.7,6.0,37.0,15.0,13.0,16.0,15.0
2017-01-18 14:00:00,1.08,38.0,269.2,9.0,59.1,6.2,25.0,12.0,11.0,15.0,15.0
2017-01-18 15:00:00,1.18,32.0,259.5,14.0,58.6,7.6,30.0,14.0,10.0,13.0,15.0
2017-01-18 16:00:00,1.21,24.0,247.6,22.0,57.4,6.4,32.0,19.0,13.0,29.0,15.0
2017-01-18 17:00:00,1.19,23.0,236.0,21.0,55.8,5.7,23.0,20.0,11.0,25.0,15.0
2017-01-18 18:00:00,1.15,28.0,249.2,14.0,54.6,4.1,17.0,18.0,11.0,23.0,15.0
2017-01-18 19:00:00,1.13,30.0,270.3,10.0,53.9,3.5,17.0,16.0,13.0,34.0,15.0
2017-01-18 20:00:00,1.16,22.0,61.3,14.0,53.5,1.1,24.0,20.0,12.0,33.0,15.0
2017-01-18 21:00:00,1.2,19.0,74.6,16.0,52.6,2.3,24.0,22.0,9.0,45.0,15.0
2017-01-18 22:00:00,1.17,18.0,90.4,15.0,52.2,2.8,24.0,19.0,9.0,47.0,15.0
2017-01-18 23:00:00,1.16,16.0,102.6,16.0,52.2,2.3,11.0,23.0,4.0,32.0,15.0
2017-01-19 00:00:00,1.16,14.0,75.0,20.0,52.3,2.3,13.0,19.0,28.0,26.0,15.0
2017-01-19 01:00:00,1.11,23.0,140.0,10.0,52.6,1.8,14.0,18.0,18.0,18.0,15.0
2017-01-19 02:00:00,1.17,11.0,253.7,16.0,51.6,3.6,25.0,18.0,5.0,12.0,15.0
2017-01-19 03:00:00,1.15,13.0,348.5,17.0,50.5,2.9,13.0,13.0,22.0,20.0,15.0
2017-01-19 04:00:00,1.16,15.0,73.5,15.0,49.8,4.1,12.0,8.0,2.0,23.0,15.0
2017-01-19 05:00:00,1.1400000000000001,18.0,31.0,14.0,49.8,3.9,10.0,11.0,24.0,10.0,15.0
2017-01-19 06:00:00,1.09,26.0,75.7,12.0,49.9,3.0,13.0,11.0,4.0,12.0,15.0
2017-01-19 07:00:00,1.13,19.0,16.2,18.0,50.0,2.1,12.0,7.0,9.0,10.0,15.0
2017-01-19 08:00:00,1.18,15.0,335.5,22.0,50.2,2.8,5.0,8.0,5.0,7.0,15.0
2017-01-19 09:00:00,1.1400000000000001,21.0,314.5,17.0,51.7,3.1,5.0,10.0,4.0,8.0,15.0
2017-01-19 10:00:00,1.1,28.0,244.0,13.0,55.9,8.7,9.0,8.0,11.0,11.0,15.0
2017-01-19 11:00:00,1.0,1.0,258.0,1.0,58.5,8.9,9.0,11.0,6.0,19.0,15.0
2017-01-19 12:00:00,1.0,1.0,236.6,1.0,59.1,9.2,14.0,12.0,9.0,19.0,15.0
2017-01-19 13:00:00,1.0,1.0,216.5,1.0,60.0,9.5,22.0,12.0,12.0,28.0,15.0
2017-01-19 14:00:00,1.0,1.0,220.7,1.0,60.7,10.3,10.0,7.0,14.0,13.0,15.0
2017-01-19 15:00:00,1.0,1.0,227.3,1.0,59.9,10.5,11.0,9.0,11.0,14.0,15.0
2017-01-19 16:00:00,1.07,43.0,235.7,5.0,57.1,8.5,14.0,14.0,10.0,12.0,15.0
2017-01-19 17:00:00,1.06,41.0,214.6,5.0,54.8,5.9,14.0,16.0,10.0,10.0,15.0
2017-01-19 18:00:00,1.05,41.0,219.9,5.0,54.4,6.3,14.0,16.0,8.0,9.0,15.0
2017-01-19 19:00:00,1.05,40.0,222.3,5.0,53.8,5.1,18.0,11.0,5.0,7.0,15.0
2017-01-19 20:00:00,1.04,39.0,221.8,4.0,53.4,5.8,22.0,11.0,2.0,10.0,15.0
2017-01-19 21:00:00,1.06,33.0,219.1,6.0,52.5,2.9,25.0,12.0,5.0,13.0,15.0
2017-01-19 22:00:00,1.07,31.0,259.0,6.0,51.9,2.5,18.0,11.0,9.0,10.0,15.0
2017-01-19 23:00:00,1.03,35.0,207.0,5.0,50.8,2.3,15.0,12.0,9.0,5.0,15.0
2017-01-20 00:00:00,1.04,33.0,146.0,4.0,50.5,1.8,33.0,10.0,8.0,10.0,15.0
2017-01-20 01:00:00,1.04,31.0,173.1,6.0,50.3,2.4,16.0,8.0,8.0,17.0,15.0
2017-01-20 02:00:00,1.04,32.0,186.7,4.0,50.4,2.5,16.0,9.0,7.0,11.0,15.0
2017-01-20 03:00:00,1.01,32.0,146.9,5.0,50.4,2.7,16.0,6.0,6.0,7.0,15.0
2017-01-20 04:00:00,1.05,26.0,167.9,8.0,49.9,2.1,18.0,5.0,6.0,8.0,15.0
2017-01-20 05:00:00,1.06,25.0,225.5,8.0,49.8,1.6,14.0,9.0,8.0,8.0,15.0
2017-01-20 06:00:00,1.08,22.0,150.4,11.0,49.5,1.6,10.0,8.0,6.0,8.0,15.0
2017-01-20 07:00:00,1.19,15.0,156.9,20.0,49.5,1.2,13.0,5.0,5.0,9.0,15.0
2017-01-20 08:00:00,1.15,19.0,104.3,16.0,49.6,2.6,10.0,5.0,8.0,8.0,15.0
2017-01-20 09:00:00,1.16,21.0,119.8,14.0,50.1,2.5,8.0,7.0,9.0,6.0,15.0
2017-01-20 10:00:00,1.12,23.0,112.4,12.0,51.4,3.7,8.0,7.0,13.0,5.0,15.0
2017-01-20 11:00:00,1.0,1.0,82.6,1.0,51.3,2.3,9.0,5.0,15.0,6.0,15.0
